순번,세무내용,비고,세무일정(년월일)
75,간이지급명세서(거주자의 기타소득) 제출기한,2026년 10월 지급분,2026-11-30
76,용역제공자에 관한 과세자료 제출기한,2026년 10월 소득 발생분,2026-11-30
77,일용근로소득지급명세서 제출,2026.10월 지급분,2026-11-30
78,취업 후 학자금 상환(ICL) 원천공제채무자 미리납부 기한(50% 2회차 분할상환액),2025년 귀속분,2026-11-30
79,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.11월분,2026-12-10
80,간이지급명세서(거주자의 사업소득) 제출기한,2026년 11월 지급분,2026-12-31
81,간이지급명세서(거주자의 기타소득) 제출기한,2026년 11월 지급분,2026-12-31
82,용역제공자에 관한 과세자료 제출기한,2026년 11월 소득 발생분,2026-12-31
83,일용근로소득지급명세서 제출,2026.11월 지급분,2026-12-31
84,취업 후 학자금 상환(ICL) 원천공제 신고 납부,2026.12월분,2027-01-11
85,간이지급명세서(거주자의 사업소득) 제출기한,2026년 12월 지급분,2027-02-01
86,간이지급명세서(거주자의 기타소득) 제출기한,2026년 12월 지급분,2027-02-01
87,용역제공자에 관한 과세자료 제출기한,2026년 12월 소득 발생분,2027-02-01
88,간이지급명세서(근로소득) 제출기한,2026년 7월~12월 지급분,2027-02-01
89,일용근로소득지급명세서 제출,2026.12월 지급분,2027-02-01
90,간이지급명세서(거주자의 사업소득) 제출기한,2027년 1월 지급분,2027-03-02
91,간이지급명세서(거주자의 기타소득) 제출기한,2027년 1월 지급분,2027-03-02
92,용역제공자에 관한 과세자료 제출기한,2027년 1월 소득 발생분,2027-03-02
93,일용근로소득지급명세서 제출,2027.1월 지급분,2027-03-02
94,간이지급명세서(근로소득) 제출기한,2027년 1월 지급분,2027-03-02
95,종합부동산세 납부기한,2026년 귀속,2026-12-15
96,9월말 결산법인 법인세 신고 납부,2024.10~2025.9월분,2025-12-31
97,4월말 결산법인 법인세 중간예납,2025.5~10월분,2025-12-31
98,원천세 반기별 납부 신청기한,2026.상반기분,2025-12-31
99,원천세(반기납 포함) 신고 납부기한,2025.12월분(2025.7~12월분),2026-01-12
100,인지세 납부,2025.12월 작성분,2026-01-12
101,주세 신고 납부,2025.10~12월분,2026-01-26
102,"개별소비세(석유류, 담배 제외) 신고 납부","2025.10~12월분(""유흥장소""는 전월분)",2026-01-26
103,개별소비세 과세유흥장소 신고 납부,2025.12월분,2026-01-26
104,10월말 결산법인 법인세 신고 납부,2024.11~2025.10월분,2026-02-02
105,5월말 결산법인 법인세 중간예납,2025.6~11월분,2026-02-02
106,10월말 결산법인 교육세(금융ㆍ보험)정기신고,2024.11.1.-2025.10.31.,2026-02-02
107,8월말 결산법인 교육세(금융ㆍ보험)1차 중간예납,'25.9.- 11월분,2026-02-02
108,5월말 결산법인 교육세(금융ㆍ보험)2차 중간예납,'25.9.- 11월분,2026-02-02
109,2월말 결산법인 교육세(금융ㆍ보험)3차 중간예납,'25.9.- 11월분,2026-02-02
110,"개별소비세(석유류, 담배), 교통에너지환경세 신고 납부",2025.12월분,2026-02-02
111,원천세 신고 납부기한,2026.1월분,2026-02-10
112,인지세 납부,2026.1월 작성분,2026-02-10
113,개별소비세 과세유흥장소 신고 납부,2026.1월분,2026-02-25
114,11월말 결산법인 법인세 신고 납부,2024.12~2025.11월분,2026-03-03
115,6월말 결산법인 법인세 중간예납,2025.7~12월분,2026-03-03
116,가상자산 거래명세서(분기별) 제출,2025.10~12월분,2026-03-03
117,11월말 결산법인 교육세(금융ㆍ보험)정기신고,2024.12.1.-2025.11.30.,2026-03-03
118,9월말 결산법인 교육세(금융ㆍ보험)1차 중간예납,'25.10.-12월분,2026-03-03
119,6월말 결산법인 교육세(금융ㆍ보험)2차 중간예납,'25.10.-12월분,2026-03-03
120,3월말 결산법인 교육세(금융ㆍ보험)3차 중간예납,'25.10.-12월분,2026-03-03
121,지급명세서(원천징수영수증) 제출기한(근로·퇴직·연금계좌·사업·종교인소득 제외) ,2025.1~12월분,2026-03-03
122,"개별소비세(석유류, 담배), 교통에너지환경세 신고 납부",2026.1월분,2026-03-03
123,연말정산 환급신청(반기별 납부자 포함),2025.연말정산분,2026-03-10
124,근로·퇴직·연금계좌·사업·종교인소득 지급명세서(원천징수영수증) 제출기한,2025.1~12월분,2026-03-10
125,원천세 신고 납부기한(반기별 납부자 포함),"2026.2월분, 2025.연말정산분",2026-03-10
126,인지세 납부,2026.2월 작성분,2026-03-10
127,개별소비세 과세유흥장소 신고 납부,2026.2월분,2026-03-25
128,12월말 결산법인 법인세 신고 납부,2025.1~2025.12월분,2026-03-31
129,7월말 결산법인 법인세 중간예납,2025.8~2026.1월분,2026-03-31
130,12월말 결산법인 교육세(금융ㆍ보험)정기신고,2025.1.1.-2025.12.31,2026-03-31
131,10월말 결산법인 교육세(금융ㆍ보험)1차 중간예납,'25.11.-'26.1월분,2026-03-31
132,7월말 결산법인 교육세(금융ㆍ보험)2차 중간예납,'25.11.-'26.1월분,2026-03-31
133,4월말 결산법인 교육세(금융ㆍ보험)3차 중간예납,'25.11.-'26.1월분,2026-03-31
134,"개별소비세(석유류, 담배), 교통에너지환경세 신고 납부",2026.2월분,2026-03-31
135,원천세 신고 납부기한,2026.3월분,2026-04-10
136,인지세 납부,2026.3월 작성분,2026-04-10
137,주세 신고 납부,2026.1~3월,2026-04-27
138,"개별소비세(석유류, 담배 제외) 신고 납부","2026.1~3월분(""유흥장소""는 전월분)",2026-04-27
139,개별소비세 과세유흥장소 신고 납부,2026.3월분,2026-04-27
140,12월말 결산 성실신고확인대상 법인 법인세 신고 납부,2025.1~2025.12월분,2026-04-30
141,12월말 결산 연결납세방식 적용법인 법인세 신고 납부,2025.1~2025.12월분,2026-04-30
142,1월말 결산법인 법인세 신고 납부,2025.2~2026.1월분,2026-04-30
143,8월말 결산법인 법인세 중간예납,2025.9~2026.2월분,2026-04-30
144,12월말 결산연결법인 교육세(금융ㆍ보험)정기신고,2025.1.1.-2025.12.31,2026-04-30
145,1월말 결산법인 교육세(금융ㆍ보험)정기신고,2025.2.1.-2026.1.31,2026-04-30
146,11월말 결산법인 교육세(금융ㆍ보험)1차 중간예납,'25.12.-'26.2월분,2026-04-30
147,8월말 결산법인 교육세(금융ㆍ보험)2차 중간예납,'25.12.-'26.2월분,2026-04-30
148,5월말 결산법인 교육세(금융ㆍ보험)3차 중간예납,'25.12.-'26.2월분,2026-04-30
149,"개별소비세(석유류, 담배), 교통에너지환경세 신고 납부",2026.3월분,2026-04-30
150,원천세 신고 납부기한,2026.4월분,2026-05-11
151,인지세 납부,2026.4월 작성분,2026-05-11
152,개별소비세 과세유흥장소 신고 납부,2026.4월분,2026-05-26
